Earin Class,0.027917
Get Serial Number,0.000132
GetUnitInfo,0.000013
GetUUTInfo,0.00001
GetMacAddress,0.000009
FormatMAC,0.000011
Action,8.469219
Statement,0.000011
MAC_Address,0.000225
Disconnect,1.180875
Connect,26.187106
Action,25.637549
For,0.00043
Speaker Frequency Response @20Hz,0.067215
End,0.000036
For,0.000313
Speaker Frequency Response @20.6Hz,0.000241
End,0.00007
For,0.000517
Speaker Frequency Response @21.2Hz,0.000198
End,0.000029
For,0.000169
Speaker Frequency Response @21.8Hz,0.000459
End,0.000029
For,0.000222
Speaker Frequency Response @22.4Hz,0.000186
End,0.000026
For,0.000198
Speaker Frequency Response @23Hz,0.000367
End,0.000031
For,0.000208
Speaker Frequency Response @23.6Hz,0.000176
End,0.000028
For,0.000203
Speaker Frequency Response @24.3Hz,0.000193
End,0.000031
For,0.000176
Speaker Frequency Response @25Hz,0.000181
End,0.000046
For,0.000517
Speaker Frequency Response @25.8Hz,0.000188
End,0.000036
For,0.000189
Speaker Frequency Response @26.5Hz,0.000169
End,0.000194
For,0.00027
Speaker Frequency Response @27.2Hz,0.000195
End,0.000055
For,0.000225
Speaker Frequency Response @28Hz,0.000652
End,0.000073
For,0.000313
Speaker Frequency Response @29Hz,0.000289
End,0.000062
For,0.000263
Speaker Frequency Response @30Hz,0.000266
End,0.000208
For,0.000394
Speaker Frequency Response @30.7Hz,0.000278
End,0.000059
For,0.000181
Speaker Frequency Response @31.5Hz,0.00018
End,0.000026
For,0.00018
Speaker Frequency Response @32.5Hz,0.000681
End,0.000042
For,0.000244
Speaker Frequency Response @33.5Hz,0.000309
End,0.000046
For,0.000323
Speaker Frequency Response @34.5Hz,0.000296
End,0.000033
For,0.000252
Speaker Frequency Response @35.5Hz,0.000245
End,0.000129
For,0.000359
Speaker Frequency Response @36.5Hz,0.000251
End,0.000043
For,0.000287
Speaker Frequency Response @37.5Hz,0.000548
End,0.000048
For,0.000246
Speaker Frequency Response @38.7Hz,0.000183
End,0.000028
For,0.000319
Speaker Frequency Response @40Hz,0.000194
End,0.00003
For,0.000178
Speaker Frequency Response @41.2Hz,0.000239
End,0.000028
For,0.000513
Speaker Frequency Response @42.5Hz,0.000187
End,0.000031
For,0.000194
Speaker Frequency Response @43.7Hz,0.000167
End,0.000042
For,0.000265
Speaker Frequency Response @45Hz,0.000192
End,0.000058
For,0.000253
Speaker Frequency Response @46.2Hz,0.000731
End,0.000039
For,0.0002
Speaker Frequency Response @47.5Hz,0.000263
End,0.000034
For,0.000169
Speaker Frequency Response @48.7Hz,0.000225
End,0.000031
For,0.00018
Speaker Frequency Response @50Hz,0.000219
End,0.000032
For,0.000478
Speaker Frequency Response @51.5Hz,0.000184
End,0.00003
For,0.000176
Speaker Frequency Response @53Hz,0.000175
End,0.000058
For,0.000257
Speaker Frequency Response @54.5Hz,0.000333
End,0.000029
For,0.00028
